id,title,type,concepts
EXAMPLE-SEQ-001,مثال قصير: إثبات رتابة بالفرق,example,monotonicity
EXAMPLE-SEQ-002,مثال قصير: متتالية حسابية,example,arithmetic_sequence
EXAMPLE-SEQ-003,مثال قصير: متتالية هندسية,example,geometric_sequence
EXAMPLE-SEQ-004,مثال قصير: تحويل تراجعية إلى هندسية,example,geometric_transformation
EXAMPLE-SEQ-005,مثال قصير: نهاية بنقطة التثبيت,example,"fixed_point,limit"
EXAMPLE-SEQ-006,مثال قصير: الحصر بالتراجع,example,"boundedness,induction"
EXAMPLE-SEQ-007,مثال قصير: مجموع هندسي,example,geometric_sum
EXAMPLE-SEQ-008,مثال قصير: الحصر للنهاية,example,"squeeze,limit"
EXAMPLE-SEQ-009,مثال قصير: لوغاريتم الجذر,example,"logarithm,geometric_transformation"
EXAMPLE-SEQ-010,مثال قصير: متتاليتان متجاورتان,example,adjacent_sequences
EXAMPLE-SEQ-011,مثال من التمارين: مجموع الأعداد,example,"induction,sum"
EXAMPLE-SEQ-012,مثال من التمارين: متتالية جذرية محصورة,example,"recursive_sequence,boundedness"
