source,target,relation
CONCEPT-004,SKILL-SEQ-001,HAS_SKILL
SKILL-SEQ-001,METHOD-SEQ-002,USES_METHOD
SKILL-SEQ-001,FORMULA-SEQ-001,USES_FORMULA
SKILL-SEQ-001,THEOREM-SEQ-011,SUPPORTED_BY
SKILL-SEQ-001,EXAMPLE-SEQ-001,HAS_EXAMPLE
SKILL-SEQ-001,HINT-SEQ-001,HAS_HINT
SKILL-SEQ-001,HINT-SEQ-002,HAS_HINT
SKILL-SEQ-001,MISTAKE-SEQ-004,COMMON_MISTAKE
CONCEPT-005,SKILL-SEQ-002,HAS_SKILL
SKILL-SEQ-002,METHOD-SEQ-001,USES_METHOD
SKILL-SEQ-002,METHOD-SEQ-003,USES_METHOD
SKILL-SEQ-002,THEOREM-SEQ-005,SUPPORTED_BY
SKILL-SEQ-002,HINT-SEQ-003,HAS_HINT
SKILL-SEQ-002,HINT-SEQ-004,HAS_HINT
CONCEPT-006,SKILL-SEQ-003,HAS_SKILL
SKILL-SEQ-003,METHOD-SEQ-006,USES_METHOD
SKILL-SEQ-003,THEOREM-SEQ-001,SUPPORTED_BY
SKILL-SEQ-003,MISTAKE-SEQ-005,COMMON_MISTAKE
SKILL-SEQ-003,SKILL-SEQ-001,REQUIRES
SKILL-SEQ-003,SKILL-SEQ-002,REQUIRES
CONCEPT-007,SKILL-SEQ-004,HAS_SKILL
SKILL-SEQ-004,METHOD-SEQ-005,USES_METHOD
SKILL-SEQ-004,METHOD-SEQ-009,USES_METHOD
SKILL-SEQ-004,FORMULA-SEQ-006,USES_FORMULA
SKILL-SEQ-004,FORMULA-SEQ-008,USES_FORMULA
SKILL-SEQ-004,THEOREM-SEQ-004,SUPPORTED_BY
SKILL-SEQ-004,EXAMPLE-SEQ-005,HAS_EXAMPLE
SKILL-SEQ-004,EXAMPLE-SEQ-008,HAS_EXAMPLE
SKILL-SEQ-004,MISTAKE-SEQ-002,COMMON_MISTAKE
SKILL-SEQ-004,SKILL-SEQ-003,REQUIRES
CONCEPT-009,SKILL-SEQ-006,HAS_SKILL
SKILL-SEQ-006,METHOD-SEQ-004,USES_METHOD
SKILL-SEQ-006,FORMULA-SEQ-003,USES_FORMULA
SKILL-SEQ-006,FORMULA-SEQ-007,USES_FORMULA
SKILL-SEQ-006,THEOREM-SEQ-012,SUPPORTED_BY
SKILL-SEQ-006,EXAMPLE-SEQ-004,HAS_EXAMPLE
SKILL-SEQ-006,MISTAKE-SEQ-006,COMMON_MISTAKE
SKILL-SEQ-008,METHOD-SEQ-007,USES_METHOD
SKILL-SEQ-008,FORMULA-SEQ-004,USES_FORMULA
SKILL-SEQ-008,THEOREM-SEQ-007,SUPPORTED_BY
SKILL-SEQ-008,EXAMPLE-SEQ-007,HAS_EXAMPLE
SKILL-SEQ-008,MISTAKE-SEQ-007,COMMON_MISTAKE
SKILL-SEQ-009,METHOD-SEQ-010,USES_METHOD
SKILL-SEQ-009,FORMULA-SEQ-009,USES_FORMULA
SKILL-SEQ-009,FORMULA-SEQ-010,USES_FORMULA
SKILL-SEQ-009,THEOREM-SEQ-008,SUPPORTED_BY
SKILL-SEQ-009,THEOREM-SEQ-009,SUPPORTED_BY
SKILL-SEQ-009,EXAMPLE-SEQ-009,HAS_EXAMPLE
SKILL-SEQ-009,MISTAKE-SEQ-008,COMMON_MISTAKE
