id,title,difficulty,concepts,skills,used_in,folder
METHOD-SEQ-001,إثبات أن متتالية محصورة,medium,"boundedness, induction, interval_invariance, sequence","إثبات الحصر, الاستدلال بالتراجع, إثبات انتماء الحدود إلى مجال","BAC-2008-SCI-EX03-Q2, BAC-2008-SCI-EX02-Q2, BAC-2010-SCI-EX01-Q2, BAC-2012-SCI-EX01A-Q2, BAC-2012-SCI-EX01B-Q1, BAC-2013-SCI-EX02A-Q2, BAC-2015-SCI-EX03-Q2",methods/METHOD-SEQ-001_prove_boundedness
METHOD-SEQ-002,إثبات رتابة متتالية,medium,"monotonicity, difference, recursive_sequence, function_study","إثبات الرتابة, دراسة إشارة الفرق, دراسة اتجاه التغير","BAC-2008-SCI-EX03-Q3, BAC-2008-SCI-EX02-Q2, BAC-2010-SCI-EX01-Q2, BAC-2012-SCI-EX01A-Q3, BAC-2012-SCI-EX01B-Q2, BAC-2013-SCI-EX02B-Q2, BAC-2014-SCI-EX01A-Q3, BAC-2015-SCI-EX03-Q3",methods/METHOD-SEQ-002_prove_monotonicity
METHOD-SEQ-003,الاستدلال بالتراجع,medium,"induction, proof, natural_numbers","البرهان بالتراجع, إثبات خاصية لكل n","BAC-2008-SCI-EX03-Q2, BAC-2008-SCI-EX03-Q4, BAC-2010-SCI-EX01-Q2, BAC-2012-SCI-EX01A-Q2, BAC-2012-SCI-EX01B-Q1, BAC-2015-SCI-EX03-Q2",methods/METHOD-SEQ-003_mathematical_induction
METHOD-SEQ-004,تحويل متتالية تراجعية إلى متتالية هندسية,medium,"geometric_transformation, recursive_sequence, fixed_point","تحويل متتالية, إثبات هندسية, استخراج الحد العام","BAC-2008-SCI-EX02-Q3, BAC-2009-SCI-EX01-Q2, BAC-2010-SCI-EX01-Q3, BAC-2011-SCI-EX01-Q1, BAC-2013-SCI-EX02B-Q3, BAC-2014-SCI-EX01A-Q1, BAC-2015-SCI-EX03-Q4",methods/METHOD-SEQ-004_transform_to_geometric
METHOD-SEQ-005,إيجاد نقطة التثبيت وحساب النهاية,medium,"fixed_point, limit, recursive_sequence","حساب النهاية, حل معادلة نقطة ثابتة","BAC-2008-SCI-EX02-Q1, BAC-2010-SCI-EX01-Q1, BAC-2012-SCI-EX01A-Q3, BAC-2013-SCI-EX02B-Q3",methods/METHOD-SEQ-005_fixed_point_limit
METHOD-SEQ-006,إثبات تقارب متتالية,medium,"convergence, monotonicity, boundedness","إثبات التقارب, استعمال مبرهنة الرتابة والمحدودية","BAC-2008-SCI-EX03-Q3, BAC-2010-SCI-EX01-Q2, BAC-2012-SCI-EX01A-Q3, BAC-2012-SCI-EX01B-Q2, BAC-2015-SCI-EX03-Q3",methods/METHOD-SEQ-006_prove_convergence
METHOD-SEQ-007,حساب مجموع متتالية هندسية,easy,"geometric_sequence, sum",حساب مجموع حدود هندسية,"BAC-2009-SCI-EX01-Q3, BAC-2009-SCI-EX03-Q2, BAC-2010-SCI-EX01-Q3, BAC-2011-SCI-EX01-Q3, BAC-2014-SCI-EX01B-Q2",methods/METHOD-SEQ-007_geometric_sum
METHOD-SEQ-008,القراءة البيانية لمتتالية تراجعية,easy,"graphical_method, cobweb, recursive_sequence","تمثيل حدود متتالية تراجعية, تخمين الرتابة والنهاية","BAC-2008-SCI-EX02-Q1, BAC-2010-SCI-EX01-Q1, BAC-2012-SCI-EX01A-Q1, BAC-2013-SCI-EX02B-Q1",methods/METHOD-SEQ-008_graphical_cobweb
METHOD-SEQ-009,استعمال مبرهنة الحصر لحساب النهاية,medium,"squeeze_theorem, comparison, limit","استعمال الحصر, حساب نهاية بالمقارنة",BAC-2013-SCI-EX02A-Q3,methods/METHOD-SEQ-009_squeeze_theorem
METHOD-SEQ-010,التحويل باللوغاريتم,hard,"log_transform, geometric_sequence, product, limit","استعمال اللوغاريتم, تحويل علاقة جذرية أو جداء, حساب نهاية","BAC-2012-SCI-EX01B-Q3, BAC-2012-SCI-EX01B-Q4, BAC-2014-SCI-EX01B-Q3, BAC-2015-SCI-EX03-Q5",methods/METHOD-SEQ-010_logarithmic_transformation
METHOD-SEQ-011,استخراج عبارة الحد العام,medium,"explicit_formula, geometric_sequence, auxiliary_sequence","كتابة الحد العام, الرجوع من v_n إلى u_n","BAC-2008-SCI-EX03-Q4, BAC-2008-SCI-EX02-Q3, BAC-2009-SCI-EX01-Q3, BAC-2011-SCI-EX01-Q2, BAC-2014-SCI-EX01A-Q2",methods/METHOD-SEQ-011_explicit_formula
METHOD-SEQ-012,دراسة الدالة قبل دراسة المتتالية,medium,"function_study, recursive_sequence, interval_image, monotonicity","دراسة دالة, ربط الدالة بالمتتالية, إثبات f(I)⊂I","BAC-2008-SCI-EX03-Q1, BAC-2012-SCI-EX01A-Q1, BAC-2013-SCI-EX02B-Q2",methods/METHOD-SEQ-012_function_before_sequence
METHOD-SEQ-013,إثبات أن الدالة ترسل مجالًا إلى نفسه,medium,"interval_invariance, function_image, induction","إثبات f(I)⊂I, إثبات انتماء الحدود إلى مجال","BAC-2008-SCI-EX03-Q1, BAC-2008-SCI-EX03-Q2, BAC-2013-SCI-EX02B-Q2",methods/METHOD-SEQ-013_invariant_interval
METHOD-SEQ-014,المقارنة مع متتالية مساعدة,medium,"comparison, auxiliary_sequence, limit","استعمال متتالية مساعدة, الحصر والمقارنة, حساب النهاية","BAC-2013-SCI-EX02A-Q1, BAC-2013-SCI-EX02A-Q3",methods/METHOD-SEQ-014_compare_with_auxiliary
METHOD-SEQ-015,استراتيجية حل أسئلة الاختيار من متعدد في المتتاليات,easy,"qcm, verification, counterexample","التحقق السريع, استبعاد الإجابات الخاطئة",BAC-2010-SCI-QCM-Q1,methods/METHOD-SEQ-015_qcm_strategy
